Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 50.37
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 47.78
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 49.94
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 49.71
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 48.93
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 48.48
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 48.27
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 49.96
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 48.47
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 48.16
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 50.84
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 47.11
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 47.71
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 50.28
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 50.26
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 50.93
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 50.89
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 50.60
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 49.96
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 50.89
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 50.93
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 50.08
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 50.13
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 49.29
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 49.24
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 49.07
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 51.31
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 51.11
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 51.53
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 51.27
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 51.31
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 51.41
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 50.81
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 50.16
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 49.74
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 50.41
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 50.58
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 47.32
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 47.31
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 47.24
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 47.58
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 47.58
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 47.54
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 46.16
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 46.67
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 46.11
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 46.07
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 45.98
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 50.58
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 46.63
Model: Activation function: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 50.24
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 45.97
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 45.84
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 46.58
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 47.63
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 47.63
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 47.57
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 47.38
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 47.38
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 47.34
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 47.32
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 47.31
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 47.21
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 46.24
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 46.24
Model: Activation function: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 46.18

Best configuration: tanh, optimiser: SGDMomentumOptimiser, hidden units: [499, 219, 166], dropout rate: 0.15, epoch: 30, batch size: 128, L2: 5e-05 Best accuracy: 51.53
