Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5021111111111111
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.5146666666666667
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.4951111111111111
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.48733333333333334
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.49033333333333334
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.49133333333333334
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.483
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.484
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.5104444444444445
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.5104444444444445
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5116666666666667
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.49633333333333335
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.49955555555555553
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.4998888888888889
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.5114444444444445
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.5066666666666667
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.5085555555555555
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5048888888888889
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.5127777777777778
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5097777777777778
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.5066666666666667
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.5097777777777778
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5082222222222222
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.5106666666666667
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5076666666666667
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.5123333333333333
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5162222222222222
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.5141111111111111
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.5165555555555555
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.5036666666666667
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.5073333333333333
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5013333333333333
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.4911111111111111
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.5037777777777778
Model: tanh, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.49733333333333335
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.4713333333333333
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.4931111111111111
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.4931111111111111
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.49233333333333335
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.47144444444444444
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.4717777777777778
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.4662222222222222
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.4661111111111111
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.464
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.4902222222222222
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.4902222222222222
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.49
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.48055555555555557
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.48055555555555557
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.4801111111111111
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.4668888888888889
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.46655555555555556
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.46455555555555555
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.48355555555555557
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.48333333333333334
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.48188888888888887
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.47344444444444445
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.47344444444444445
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.4727777777777778
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.47333333333333333
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.47333333333333333
Model: sigmoid, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.4726666666666667

Best configuration: tanh, optimiser: SGDMomentumOptimiser, hidden units: [455, 185, 140], dropout rate: 0.2, epoch: 30, batch size: 128, L2: 1e-05 Best accuracy: 0.5165555555555555
